"file","bytes","width","height","format","status"
"DW_001_ai_bg_v2.jpg","240006","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_002_ai_bg_v2.jpg","231004","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_003_ai_bg_v2.jpg","248758","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_004_ai_bg_v2.jpg","249111","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_005_ai_bg_v2.jpg","241395","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_006_ai_bg_v2.jpg","294794","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_007_ai_bg_v2.jpg","303021","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_008_ai_bg_v2.jpg","306728","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_009_ai_bg_v2.jpg","285980","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_010_ai_bg_v2.jpg","431785","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_011_ai_bg_v2.jpg","368904","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_012_ai_bg_v2.jpg","381448","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_013_ai_bg_v2.jpg","352942","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_014_ai_bg_v2.jpg","372559","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_015_ai_bg_v2.jpg","354610","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_016_ai_bg_v2.jpg","319319","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_017_ai_bg_v2.jpg","349324","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_018_ai_bg_v2.jpg","324218","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_019_ai_bg_v2.jpg","423497","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_020_ai_bg_v2.jpg","312621","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_021_ai_bg_v2.jpg","337108","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_022_ai_bg_v2.jpg","344688","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_023_ai_bg_v2.jpg","371760","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_024_ai_bg_v2.jpg","351061","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_025_ai_bg_v2.jpg","353229","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_026_ai_bg_v2.jpg","377214","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_027_ai_bg_v2.jpg","368416","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_028_ai_bg_v2.jpg","427926","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_029_ai_bg_v2.jpg","414506","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_030_ai_bg_v2.jpg","344270","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_031_ai_bg_v2.jpg","328396","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_032_ai_bg_v2.jpg","327726","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_033_ai_bg_v2.jpg","370147","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_034_ai_bg_v2.jpg","322384","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_035_ai_bg_v2.jpg","337204","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_036_ai_bg_v2.jpg","366179","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_037_ai_bg_v2.jpg","332480","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_038_ai_bg_v2.jpg","334201","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_039_ai_bg_v2.jpg","276258","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_040_ai_bg_v2.jpg","278004","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_041_ai_bg_v2.jpg","259169","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_042_ai_bg_v2.jpg","270767","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_043_ai_bg_v2.jpg","294315","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_044_ai_bg_v2.jpg","275613","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_045_ai_bg_v2.jpg","319534","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_046_ai_bg_v2.jpg","314002","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_047_ai_bg_v2.jpg","386652","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_048_ai_bg_v2.jpg","358618","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_049_ai_bg_v2.jpg","420804","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
"DW_050_ai_bg_v2.jpg","461580","1366","2048","b96b3cae-0728-11d3-9d7b-0000f81ef32e","ok"
